Techno,House,Trance,Electro,Hard Trance,Tech House,Acid House,Acid,Synth-pop,Tribal House,Electro House,Italo-Disco,Italodance
Dark Side Records,Soul Candi Blue,Ablazing ReLaunch,Kitchen,Maxximum Songs,Not On Label (Tony Adamo (2) Self-released),Mind The Gap,Xclubsive Recordings,Castle Music Ltd.,Community Recordings,2MR2 Records,"PolyGram Discos, S.A. De C.V.",
Plastiq Records,Booth Trax,Copyright Free,RCRD LBL,Ramses Studio,Kaseta Music,Jack Your Body Records,Geometrical,Polygram Inc.,RMI Records,Get Over Records,Open Records,
Aural Energy Records,TL Music,Digibeat,Tomlab,Polydor Island Group,Kasetashi,Code Noir,Rat Sound Digital,Polygram Distribution Inc.,Sheer Sound,Klangwald Recordings,CBS Records Australia Limited,
Session Trax,Puna International,Tide,Niiemo Records,PRG (Progressive Motion Records),Bring The Kingdom,Air Soundz,Young NRG Productions,"Romantique Productions, Inc.",Spinback Records,Ultralab,Weka Studio,
Resort Records,Disco Diva Records,Tatsumaki,A Different Drum,Vimana GmbH,Outlaw Recordings,Mousetrap Records,Jamvana,Star Inc. Music Holland,Shango Records,Lowbrow Records,Dance Masters,
Triplefire Music,Hell Records,Eye Q Music Inc.,New Crack City Records,Musicallstars,PinkStar Records,Blunt Music,Рехаб,"The Blue Room, Gävle",CUFF,Not On Label (Dudeman (2) Self-Released),accord,
Surimix,Home Disco Collective,La Maison Grande,Sine Die,Cheeky Tracks Limited,Brydges,Ark Angel,Not On Label (Troy Pierce Self-released),My Idumea Music,Rodven,BimboMix Records,Discos CBS S.A.I.C.F.,
FreakAudium Recordings,Ginga Music,Track One Recordings,Something In Construction,Building Records,World Sound Trax,Music House,Not On Label (ONE A Self-Released),Ultimate Groove Ltd.,PolyGram Latino U.S.,Teenage Riot Records,Soyuz Music Marketing GmbH,
FreakAudium Bunker,Rawtone Black,Anjunabeats Melodic Trance,Modern Recordings,98.5 Metropolitana FM,Not On Label (Ariyona Febly Self-released),Amato Disco Ltd,Instruction 137,V2 Records,Liquid Music,Young Robots,Night'n Day Records,
Santos Recordings,Stereocity,Hypnotika,BC Recordings,Metro Tech,Clubx Records,Deeper Side Of London,Conundrum Records,Major Minor Music Ltd,4 Hits Only,Mediadrive Records,Golden Dance Classics,
Mellow Jeremy Recordings,Antica Sartoria,Rainbo Records,Tigereye Recordings,Building Indústria e Comércio de Importação e Exportação Ltda.,Drehe Drehe,Fallout Shelter,Not On Label (Isotope (6) Self-released),Equipe Ecosse,Pink Flame Music,Prysm Records,Club Oi Studio's,
PlusEins,Agent Anonyme Recordings,Dance Dept,Lovarium Production,Microservice - Microfilmagens E Reproduções Técnicas Da Amazônia Ltda.,Uprise Music,A+R Record Manufacturing Corporation,BBZ,Erdenklang,Label Worx,C&P Recordings,Snake's Music,
NoiseTilt Records,404 Deep Records,Telstar TV,GAL,Master Cutting Room,Not On Label (Cashcult Self-released),Deep Dish Records,Radio-Quiet Records,"TELDEC, Hamburg",Siesta Studios,Cx Records,Snake's Music Italo Disco Collection,
Traquency Records,Bambossa Records,Euphoria,Not On Label (Low Tape Self-released),Mo's Music Machine Ltd.,Not On Label (Amirium Self-released),Dubfire Music,Data Analoga,Elmulab Studio,Pure Science Communications,Dirty Duck Audio,Unknown (LS),
Code Rhythm Recordings,Million Records,Telstar Records Ltd.,Trusted Music Publishing,Cubik,Late Night Munchies,IMP,Mokum Records,Erdenklang Musikverlag Ulrich Rützel,Dungeon Tape,Gardenhouse Tonstudio,Radio Musica,
Voltagem,Adesso Music,The Entertainment Network,Psykbunkern,Kickass Publishing,Not On Label (Audiopanther Self-released),ARS/Clip Records,Zodiac 44,Megatrax,K-Dope Productions Inc.,Edition Gardenhouse / Peermusic Germany,ASR,
Sonics,Short Attention,Sony Music Ltd.,"Daya Records, LLC",Editions Bleu Blanc Rouge,Not On Label (Archangelmichaelf Self-released),The Haunted House,Not On Label (Drvg Cvltvre Self-released),Stardumb Records,Wamdue Productions,Titan Music,Serie Lujo,
Gastspiel Recordings,DVS InteleStream,ToCo Licensing N.V.,Star Line,Ultimate Music Distribution,Not On Label (Matti Charlton Self-released),Groove On Music,Abnormal Records,Face Records,Lemur Song,Not On Label (Three Point Self-released),ЗАО «Инновационные Технологии»,
Wild Things Box Recordings,Loud X Lucky,Joe Trend Records,Double Originals Of,Player Studios,Aversion Records,Seven Days Music,Lomina Records,Face Studio,Chrysalis Music Ltd.,Red Stars Records,Yel,
Visiomind Records,One Seven Music,Precision Records,"ООО ""Камертон""",DJ Ser Studios,Frequency Squad Rec.,Freedurb Music,Aural Energy Records,Face Records Production Ltd.,Deep Vision Records,Munix Deluxe,Polydor/Polygram France,
MM.Rec,Energy Production,Relic Music Studio,YGEX,Earth Music,Not On Label (Mac Malcolm Self-released),Danceteria Records,Inpartment,Face Music Publishing Ltd.,USA Import,To Be Records,The Early Years Of Italo Disco,
Droid Behavior,Bang Record,Mystica Records,Innovation,Impart Productions,Not On Label (DaitioiMusic Self-released),Chill Music,Soitiz,Momentum Music Ltd.,Freeze Dance,Top Billin Music,Asia Classics,
Droid Podcast,Lithuania HQ,DanceGrooves,Not On Label (Bella Fuzz Self-released),Vincenzo Songs,Play Tough Records,Butterfly Records,Not On Label (TKCD Self-released),Zipper Mobile,Raise The Roof Songs,Not On Label (D'azoo At Night Self-released),Psycho Studio,
Tapage Nocturne Records,Airbase Classics,Fate Recordings,Priority Records,Drizzly Music,We Are Klexos,Disc-tinct Music Inc.,CES (Centipede Experimental Sequences),Hammersmith Apollo,Deep Rhythms Music,"Dirt, Lies & Audio Black",JD,
Nutempo Records,Twelth Longfellow Music,Not On Label (Ryan K Self-Released),Electro Funk,Ed. 100% Hype,Skull Tech,"RPM Studio, Englewood, NJ",Not On Label (0111001101110100 Self-released),Mayking Records,Strange Weather Studios,Eclectic Records,Carrere Italy,
Tenebrae Records,Nice Age,Media Records,"Priority Records, Inc.",Mute Song,Not On Label (GreenMamba (2) Self-released),Obsessive Records,Controverse Records,High Fashion Music,Surreal,SupraSchall Records,Runaway Records,
Sanex Music,Solä,Digital Quest Music,EMI MFG.,ODR,Not On Label (DJ Martymart Self-released),Not On Label (50 Cent),Ōtomo Trax,Ariola Music,Colin Hart Publishing,Rebeat,Skylight Records,
Capsula Digital,Not On Label (Paradise (3) Self-released),Not On Label (DJ Noriken Self-released),Re:Volte,Negativa,Some Proof,GO,Not On Label (Urbanjedi self-released),Sound Of Scandinavia,Pump Hill Records,KraftStoff Records,Discomusic,
MennyFasanoRecords,Phono Sounds,Fektive Publishing,Terminal City Studio,PRT Studios,GLF Records,CDT Berlin,Intox Noize,Sound Of Scandinavia Publishing,High Test Records,Edizioni Lungoviaggio,Corsini Edizioni Musicali S.a.s.,
Tarvisium Electronique,PopLife Records,Fektive Records,Not On Label (Caucasian Boy Self-released),MSM Songs Musikverlag GmbH,Cosmo Seed,Horizontal,Compute Music,Coolwine Music,South Circular Recordings (SCR),LK2 Music,"EMI-Rodven, C.A.",
Vernacular,Pasqua Records,Synedrion Music Group,MP3 Position,Superstition Special,Section Eight Music,WEA Discos Ltda.,Trash Cvlt,TBM Music,SFP Studio,Muzik X Press,Sono-Rodven,
Akoom Records,Pasqua Media Group,Let It Play Music,The Best MP3 Music Collection,Sunstorm Productions,Not On Label (Jannick Konstroffer Self-released),Evans & Fisher,Analytical Technology Records,Mexican Summer,Voorn Music/EMI,Carlo Cavalli Music Group,VMP,
Team Records,Cruise Music,Efstratios Kokotas,Not On Label (Rico Casazza Self-released),Polygram Songs Musikverlag GmbH,Staircase Records,B.M.S. Recording Studio,G12,Gold,Tag Records,Propa Records,VM Productions Pte. Ltd.,
TEAM Split,Title Music,Armada Sessions,Dame-Music,NMC,Versus Music Label,Blank Records,Pleśń,Polydor Records,Moe Tracks 4 Ya,SQE Music,VSP Malaysia,
MothLab Recordings,Big Love Music,Drizzly Music,A12 Recordings,GDC,2Bemusic,Virgin Greece,Gain Plus,"DRO, S.A.",Renegade Records NYC,Luxury Trax,VMP Thailand,
Moditech Records,JCV Records,A+R Record Manufacturing Corporation,Ditto Music,Yakuza,Pink Lizard Records,EMI Greece,Automatic Records,Studio Jean,Musica Del Sol,Kaa Production,Revamp,
Not On Label (Nano.Strike Self-released),Expand Music,Armania Publishing,Paul Minor,United,Onelove,"Columbia, Athens",Koda Recordings,Alias,Bomb Records,MAR186,中国唱片广州公司,
Pulso Obvio,Not On Label (JUICY SELEKTA Self-released),Universal Island Ltd,The Future Lab,Profound Music Publishing,Lowbit Records,Top Charlie Records,Beatrising,Alias Records,Deja Vu Music,Batuque Music,Jin Die,
Música Dócil,Music Media Consulting,"PMDC, UK",skyQode,United Recordings,Hymns,"Audio & Video Labs, Inc.",Interval,Alternative Distribution Alliance,Sun-Up Records,Orionis Records,Ukrainian Records,
Zipped Records,Warner,Nettwerk Productions UK,Not On Label (Golden Shower (6) Self-released),Zownd.nl,Emerald & Doreen,Aligned Audio,Not On Label (Dylab Self-Released),Penguin Distribution,MOOve Your Body,Digi Digital Recordings,Grop studio,
Hollister Records,Just Music,Size Nine,Pan European Recording,Virgin S.A.,Lick & Play Records,United Record Pressing,Second Air Records,Voices Of Wonder,EMI Jax,Prismatikone Records,Jimco Records,
Naked Records,Controversial,ARS Entertainment,"Keep Co., Ltd.",Vinyl Trip,Double Bass Records,Backbeats,Luminar,Distribuzioni Flying Records Srl,EMI Manufacturing (USA),Houzebox Recordz,Style,
N.M. Records,Sirsongs,MP3.com,Sound Esthetic Salon,LFP Records,WhoAreYou,Demon Music Group Ltd.,Mystic Carousel Records,MDS,Kaos Productions,Micro Recordings,Dance Revival,
Madrugada Recordings,Not On Label (Argonaut Self-released),Goodgreef Digital,"First Music Co.,Ltd.",Emi Uden,Tongut,Fresh Plastic Music,House Nation Trax,Disctronics USA,Deep Dish Productions,Bonds Records,Gong Video,
CubeRec,Casa Rossa,Universal Music Strategic Marketing,Not On Label (Dan Söderqvist Self-released),Delicatemedia,Phraser Records,Nice & Jazzy Music,Stalium Records,HusikMusik,Age Of Insanity Music,Eigentum Ist Diebstahl Records,Gong Video s.a.s.,
Prisma Record,One Seven,Not On Label (Nikolauss Self-released),VFB Records,N.E.W.S. Distribution,Not On Label (Årling Self-released),Jazz Moses Productions,Kieso Music,WGNS Studios,Informal Records,Planet Ghost Music,Tango Music,
Tesno Records,Xploded,Fevah Records,Analog Language,Discomania Musikvertriebs GmbH,Babylon Records,Studio Le Roy,Kurrupt Recordings,Royaltone Studios,"The Underground Studio, Holland",Bassface Recordings,Драйв,
Overial Records,Xploded Music Limited,Flux Delux Limited,Run On Recordings,Spacelab,Republic Of Music,Grey Market Records,Trashz Recordz,Graplur Studios,Pop Art Studios,Black Division,No Bad Days,
Audio Donor Records,Tech-It Recordings,Elliptic Records,Not On Label (Visual Poetry Self-released),Zeitsprung Schallplatten,Mauritius,Polygram Music Ltd.,When Disco Goes Wrong,Viennola BTG,Fallout Shelter,Atlantic Standard Recordings,Tiger,
Killing Machine Records,SoHo Beats Recordings,Proximum,2393 Records,Sahara-Music,Code2 Records,Joe's Distributor,Not On label (Eliminator (2) Self-Released),Metal Sonic Disco,Off Bit Studios,4GF Records,Not On Label (Carino Cat Self-released),
Trace Music,Boring Assholes,Bandcamp,Folk Wisdom,El Mundo,Jukebox Recordz,Club Tools,Not On Label (Norberto Lusso Self-released),Gold Mountain,Estúdios 1 Só Céu,ModyWorks,Playaudio,
Sex Panda Records,Guareber Recordings,Isobar Records,Della,Massive Drive Recordings,Poodle Records,EMV,Not On Label (acidevice Self-released),Monarch Record Mfg. Co.,I.R.S. Songs Inc.,ModyWorks Recording Company,Arcade Music Company France,
Sound Of Acapulco,Fullhouse Records,SDC GB Ltd.,Della Inc.,Monster Force,Immoral Basement Records,Phonag AG,KTDJ Records,Gold Mountain Records Ltd.,Dubfire Music,Musica Diaz Toro,MC Harmony Studio,
Picche Records,Fullhouse Records Presents,Metro Music,Altra Moda Music,Indisc,Wolf + Lamb Podcast,"""edel"" Gesellschaft für Produktmarketing mbH",Muted Records,"Irving Music, Inc.",Almo Music Corp.,AudioBit,Music Mania GR,
Sphere Tech Records,Elle MAJ Music,MJ,Transmission Recordings,Warning,BuenaMusica Recordings,Derichs & Romboy MV,7FORM,"Gold Mountain, Ltd.",Warner-Tamerlane,FKJ Music Records,Harmony Music,
Northbeatz Digital,Switchlab,Tact,Sunshine Records,Infectious Distribution,ARTWRK,Hanseatic,Heavy Hitters,"Record Plant, Los Angeles",Jonesy Music,Metronix Recordings,Belimor,
Corrupted Data,Carousel Recordings,Tetsuo Artists: Unreleased Remix E.P.,Spirit Generation,Paul Rodriguez Music,WyldCard Records,Edition Friendly Friend,Only Human Records,A&M Mastering Studios,Acram Music,Krone Records,Mag Magic,
Modern Playground,Fact Mix,[PIAS] Entertainment Group,Ribèss Records,Humpy,Afro Acid Digital,Missing Dog Records,Not On Label (CPSL Self-released),Perspective,Tropical Sound,Love House Records,ATO RECORDS,
Darkletvm Records,Bassball Records,Musical Freedom,SoftMediaBrain,Liquid Asset,Elrow Limited,Groove Sound,Havok,Northern Songs Ltd.,Missdemeanours Music,Nu Industry Recordings,Diaz Colodrero & Asociados Publicidad S.R.L.,
Feinstaub Records,TB Media,Revelation Records,Saturday Mastering,Sounds Of Torpedo,Gogo.com Ltd,GS Records,Dream Team Productions,Ilitchmusic,"Power Music Distribution, Inc.",CYC Production,Not On Label (Mike Mareen),
Ton Liebt Klang,J S Records,Wet Groove Records,DISCART.ru,Warner/Chappell Music,Universal Music Thailand,Big Panic,EML Recordings,Audio Division,Skool Flava Productions,Elektro Italy,Harlekin,
Noisj.nl,forTunea,Wet Groove,Kääntö Records,Creative Mind Studios,"Dirt, Lies & Audio Recordings",Lounge(s),Braincore Recordings,Situation Two,Not On Label (Mash Up),Cultus Vibes,Harlekin Musik Aps,
Techno Artillery Light,Daisy Chain,Toneplay Records,AGM Sound Production,Forever Forward Records,House Heroes Music,Domino Music Publishing,Legs Akimbo Records,Attic,Primal Records,Akkamuzik,Garsų Pasaulis,
Cosa Nostra,Italian Way Music,Proof Songs,EFK Music,Alchemy Mastering,NTS Records,Vanguard Sound!,Diamante Records,Safari Records,Not On Label (Nena),Hard Revolution Records,Italo Disco (By DJ Osso),
nomad wave,Bid Muzik,Diffused Music,MisèRecords,Catchy Tunes,Matrix Music Records,Popstar,Futureplay,Attic Records Limited,Forever Soul Music,Wall 2 Wall Records,Warner Music Italy,
Teknonotice Digital Recordings,Kitchen Spasm Podcast,Songside Recordings,Dalmata Daniel Digital,Family Tree Music AB,System Recordings,Comatonse Recordings,Universal Music France,Linear Music Ltd.,EsNtion Records,Ill Pill Records,Cappuccino Edizioni Musicali,
Melodica,"Musical Freedom Label, LLC",Vasilek Records,Genlyd,Bonnier Amigo Music Distribution,4Play Trax,JGM Recording Studio,MNMN RECORDS NETLABEL,Adventure Records,"EsNtion Records, Inc.",Nanoprobe Records,Abracadabra Musikverlag,
Darkmadness Records,Blue Magenta,Spell Recordings,Not On Label (Comunidade Nin-Jitsu Self-released),AIRBASE Publishing,D³ Music,Three Associates,Spannered,Bonnier Amigo Music Group AB,Mr Hoodys Music,Funky Fruit Records,Philippe Renaux,
Greek,Etage Noir Recordings,Not On Label (Nitrous Oxide (2) Self-released),Exercise 1 Recordings,Dizcotal Records,Kingdom Kome Black,Vista Sounds International Inc.,R&S Laboratories,Bonnier Amigo Music Denmark A/S,Definity Records,Black Circle Records,Televis s.r.l.,
Soul Access,The Church Of Noisy Goat,Trestar Records,Exercise 1 Recordings LLP,Tesseract Collection,Rodawi Records,Frequency X Studios,New Electronica,Adventures In Music,Abbey Road Studios,Kriminal Kml Records,Edizioni Cha Cha Record,
Inrirecords,Clubland Records GmbH,Propeller Records,Not On Label (Acidulant Self-released),Dancer Planet Record,Whippin,The Hit Factory,GWP,Adventures In Music Limited,Lomidhigh Organic,A Side Records,Editions Francis Dreyfus,
Mantide Records,Vicious Music,Eldorado Media,Landing Series,Discográfica Bonzai Spain,Magic Moment,Frequency X Music,Over-X-Posure,Ohama Records,Narcotic,Bunkerz Records,ZYX Holland D.M.C.,
Le Galassie Di Seyfert,Beat Dealer Records,Full Time Production,SELFNESS,Diseco,Ritmo,Secret Affair Music,Makes Me Dizzy,World Records,East Side Records,Miniaturesrec,Roba Musikverlag,
LAD Publishing & Records,Mad Decent,Not On Label (Arbe & Dann Self-released),Sounding Functions,Import Music,Circa Trax,FFRR Classics,Play It Again Sam,2KHZ Studios,Revolution,NoSound Records,Superdance,
Key Records,Rzy Publishing,Not On Label (Kinetica (4) Self-released),Not On Label (Aika (6) Self-released),The Project,Basement Leak,House -N- Effect Records,Radikal Fear,Producciones Más Volumen,Popular Records,Jack Union Records,"Studio Quattro 1, Roma",
TonTek,Popular,DFN Recordz,Activia Benz,80 Aum Studios,No Smoking Recordings,C-THRU Records,L'Hallucidité,Third Mind Music,BOMB S.r.l.,Minimus,Sharada Productions,
Attary Records,Not On Label (Steinsdotter Self-released),Edel UK,Singles Club,USA Import Music,Out Of Body Recordings,M.S.R. Pub.,PWL International,Sony Music TV,Domo Recordings (Spain),Ring Mode Records,Jumbo Disco S.r.l.,
Saint Pid,Fuzz Productions,Deep Space | Music,Cyber Max Digital,Aum Independent Distributions,Tons & Tons,Barclay Records,PWL,Fantastic 80's!,Realbasic Recordings,Lotus Flowers Publishing,Elysong Musik,
Four Peas Recordings,Lucky Life Recordings,Pagter,Not On Label (Ginkiha Self-released),Edition Wolke 17,Dar Digital,Barclay S.A.,Warner Music UK Ltd.,Pickwick Australia P/L,All Clubbed Up,Haiti Groove Recordings,Grafica Pozzoli,
Modelo T,Bondi Beach Records,Not On Label (Helblinde Self-Released),Paradoxx Music,EDM Music Productions,DAR Digital,Hauppauge Record Manufacturing Ltd.,PWL International Ltd.,Black Cat Studio,Boombastic Records,Dance Lab Recordings,Hole Studios,
Overskin Recordings,Launch,Flammable Records,Microservice Tecnologia Digital Da Amazônia Ltda.,S.O.B. (Sound Of The Bomb),I Cieli Di Orione,Ai,Disc-tinct Music Inc.,Platinum Island Studios,Perfect Songs,Elektro Oryx,Megarecords Production,
Whiteline-Records,Epic Associated,"Studio ""Record""",Microservice,Deejay Nation,Whistle,Bass Music,"Disctronics Group, United Kingdom",Downtown,B. Suga Music,StopListenDance,Arcobaleno Records,
Tractorecords,Oyoda Recordings,Multimusic,White Starship Records,MPP,AndPress,Boonsquawk! Inc.,All Boys Music Ltd.,Tring,Groove Records,Dopefish Audio,Dot Dash,
Automat X Records,AP Music & Productions,U-Music (Australia),Not On Label (Andreas Byrsting Self-released),FFRR,Unique Distribution,Streetheat Music Productions GmbH,Black On Black Records,Atmospheric Synthesizer Spectacular,Tangent Beats,Squeeze Music,Get-Cut,
Machine Jockey,Cosmos,Quake Trance Best,Dr. Greene Inc.,The Viskelaeder Complex,Zerothree Music,ARS Studios,Mute Corporation,SBK Partnership Musikverlag,Ultra Vinyl,Made In Etaly S.r.l.,Spirit Of Disco,
